school,salary.peer,big10,pay,deflator,fees
UCLA,TRUE,FALSE,28736.03048,1.030962933,1061.477973
UC-Berkeley,TRUE,FALSE,31505.78634,1.005533591,877.3060477
U of MI,TRUE,TRUE,28613.40422,0.951982404,1105.342425
UT-Austin,TRUE,FALSE,31524.58263,0.952176622,786.8536319
U of IL-Urbana,TRUE,TRUE,30750.46749,0.951484604,1119.763491
Ohio State,TRUE,TRUE,31461.94574,0.957218614,676.1067107
U of MN,TRUE,TRUE,29386.07104,0.955097171,928.5308081
Indiana U,TRUE,TRUE,29304.12846,0.974977573,1015.68843
MSU,TRUE,TRUE,29006.98056,0.978619828,1054.497181
Purdue,TRUE,TRUE,29671.35236,1.014980822,953.1010833
U of WA,TRUE,FALSE,31481.90868,0.990076521,638.2795648
UW-Madison,TRUE,TRUE,29492,1,1130
U of Iowa,FALSE,TRUE,29232.76614,1.017124775,899.8366112
U of NE,FALSE,TRUE,29472.66212,0.99894307,1000.342329
Northwestern,FALSE,TRUE,29455.43102,0.963674861,911.9220439
Penn State,FALSE,TRUE,30285.99587,0.958693163,649.2462051
